filename,num_points,x_min,x_max,x_range,y_min,y_max,y_range,z_min,z_max,z_range
boundary_1,8846052,-0.76519305,3.9384642,4.703657,-1.0102158,1.0102158,2.0204315,-0.317597,1.1951398,1.5127368
boundary_10,8420363,-0.91363704,3.8930795,4.8067164,-0.9481339,0.9481339,1.8962678,-0.317597,1.1282622,1.4458592
boundary_100,8265534,-0.8362974,3.7618725,4.59817,-0.9733514,0.9733514,1.9467028,-0.317597,0.9976089,1.3152059
boundary_101,8278884,-0.8624538,4.002305,4.864759,-0.9373474,0.93734735,1.8746948,-0.317597,1.1144055,1.4320025
boundary_102,9467532,-0.7516311,3.9190056,4.6706367,-1.0651096,1.0651095,2.130219,-0.317597,1.1421376,1.4597347
boundary_103,8828984,-0.8076557,3.7550278,4.5626836,-0.97742987,0.97742987,1.9548597,-0.317597,1.1752931,1.4928901
boundary_104,8255031,-0.91679305,3.8393295,4.7561226,-1.0879033,1.0879033,2.1758065,-0.317597,1.0494624,1.3670595
boundary_105,8404537,-0.8197065,3.9533274,4.773034,-1.0782983,1.0782983,2.1565967,-0.317597,1.2490138,1.5666108
boundary_106,8498612,-0.9303936,3.8804142,4.8108077,-0.998801,0.998801,1.997602,-0.317597,1.0956832,1.4132802
boundary_107,7581460,-0.7654695,3.7175267,4.482996,-0.9130538,0.9130538,1.8261076,-0.317597,1.0109763,1.3285733
boundary_108,9630167,-0.87571895,3.80121,4.676929,-1.0382892,1.0382892,2.0765784,-0.317597,1.1613431,1.4789401
boundary_109,9291795,-0.90409565,3.6404796,4.544575,-0.98775697,0.98775697,1.9755139,-0.317597,0.9786835,1.2962805
boundary_11,7795562,-0.7520339,3.739587,4.491621,-1.0994779,1.0994779,2.1989558,-0.317597,1.1256167,1.4432137
boundary_110,7910810,-0.79280865,3.9567964,4.749605,-1.1137586,1.1137586,2.2275171,-0.317597,1.1301861,1.4477831
boundary_111,8752528,-0.85163784,3.8033829,4.6550207,-1.0271683,1.0271683,2.0543365,-0.317597,1.0446272,1.3622242
boundary_112,8518400,-0.73900986,3.8775766,4.6165867,-0.9627952,0.9627952,1.9255904,-0.317597,1.2132902,1.5308872
boundary_113,8930629,-0.8006779,4.0613537,4.8620315,-1.0377218,1.0377218,2.0754435,-0.317597,1.0762081,1.3938051
boundary_114,8266510,-0.9082155,3.7354918,4.6437073,-0.9742535,0.9742535,1.948507,-0.317597,1.1024681,1.4200652
boundary_115,8116353,-0.7465284,3.5822902,4.3288183,-1.0772824,1.0772824,2.1545649,-0.317597,1.1180313,1.4356283
boundary_116,9293473,-0.8552474,3.8982604,4.7535076,-1.0144641,1.0144641,2.0289283,-0.317597,1.1679698,1.4855669
boundary_117,8233084,-0.88244,3.7375839,4.6200237,-0.9630889,0.9630889,1.9261779,-0.317597,1.0838479,1.4014449
boundary_118,8756060,-0.77395606,3.821338,4.595294,-1.0889056,1.0889056,2.1778111,-0.317597,1.1354162,1.4530132
boundary_119,10018322,-0.82750696,3.6585646,4.4860716,-1.002035,1.002035,2.00407,-0.317597,1.0686964,1.3862934
boundary_12,9381788,-0.8603969,3.813359,4.673756,-1.0199496,1.0199496,2.039899,-0.317597,1.0185556,1.3361527
boundary_120,7487265,-0.9418543,3.9744537,4.916308,-0.9232926,0.9232925,1.846585,-0.317597,1.0453281,1.3629252
boundary_121,8065493,-0.84099936,4.0996213,4.9406204,-1.1028155,1.1028155,2.205631,-0.317597,1.140298,1.457895
boundary_122,9656835,-0.7327587,3.7834144,4.516173,-1.023531,1.023531,2.047062,-0.317597,1.0711684,1.3887655
boundary_123,8206893,-0.7871903,3.6202168,4.4074073,-0.95188415,0.95188415,1.9037683,-0.317597,1.1811718,1.4987688
boundary_124,8811561,-0.8968114,3.9369206,4.833732,-1.0633508,1.0633508,2.1267016,-0.317597,1.0567436,1.3743407
boundary_125,9590518,-0.9221111,3.776142,4.698253,-1.0278668,1.0278668,2.0557337,-0.317597,1.1481133,1.4657103
boundary_126,7889872,-0.81402445,3.8600311,4.6740556,-0.94827574,0.94827574,1.8965515,-0.317597,1.1225764,1.4401734
boundary_127,8112595,-0.8687331,3.69672,4.565453,-1.0990489,1.0990489,2.1980977,-0.317597,1.0381985,1.3557955
boundary_128,8645148,-0.760829,4.0224266,4.7832556,-0.987783,0.987783,1.975566,-0.317597,1.0878893,1.4054863
boundary_129,8193988,-0.7678351,4.0170913,4.7849264,-1.1161376,1.1161376,2.2322752,-0.317597,1.2111189,1.528716
boundary_13,8466011,-0.887001,3.6529348,4.5399356,-0.9841777,0.9841777,1.9683554,-0.317597,1.1103328,1.4279299
boundary_130,9113884,-0.8775395,3.6908026,4.568342,-0.99017024,0.99017024,1.9803405,-0.317597,1.0592552,1.3768523
boundary_131,8191680,-0.9311825,3.770342,4.7015247,-0.95021784,0.95021784,1.9004357,-0.317597,0.993179,1.310776
boundary_132,8941177,-0.82220507,3.8538113,4.6760163,-1.0290062,1.0290062,2.0580125,-0.317597,1.144167,1.461764
boundary_133,9990091,-0.849155,4.093633,4.942788,-1.0255531,1.0255531,2.0511062,-0.317597,1.0857917,1.4033887
boundary_134,7431903,-0.73931307,3.7671568,4.5064697,-0.9141479,0.9141479,1.8282958,-0.317597,1.1118225,1.4294195
boundary_135,8769009,-0.7954879,3.613633,4.4091206,-1.0645684,1.0645684,2.1291368,-0.317597,1.0275004,1.3450974
boundary_136,8430162,-0.90329367,3.930213,4.8335066,-1.0015724,1.0015724,2.0031447,-0.317597,1.1778486,1.4954456
boundary_137,8337693,-0.8086889,4.054926,4.863615,-0.9752442,0.9752442,1.9504884,-0.317597,1.0974942,1.4150913
boundary_138,8772663,-0.92000157,3.7286978,4.6486993,-1.0551407,1.0551407,2.1102815,-0.317597,1.2236016,1.5411986
boundary_139,9467204,-0.7518035,3.8078632,4.5596666,-1.0150177,1.0150177,2.0300355,-0.317597,1.1572901,1.4748871
boundary_14,8569109,-0.779572,3.7360582,4.5156302,-1.0640318,1.0640318,2.1280637,-0.317597,1.142182,1.459779
boundary_140,7857946,-0.8628112,3.8920622,4.7548733,-1.0791583,1.0791583,2.1583166,-0.317597,1.0320574,1.3496544
boundary_141,8242575,-0.8895392,3.7317624,4.6213017,-1.0907196,1.0907196,2.1814392,-0.317597,1.1054666,1.4230636
boundary_142,8703299,-0.78243655,3.8146114,4.597048,-0.96445155,0.9644515,1.9289031,-0.317597,0.98070246,1.2982994
boundary_143,8025836,-0.8356508,3.6525276,4.4881783,-0.93925464,0.93925464,1.8785093,-0.317597,1.190594,1.508191
boundary_144,9152038,-0.72511345,3.9688299,4.6939435,-1.0505705,1.0505705,2.101141,-0.317597,1.0663679,1.3839649
boundary_145,7898091,-0.7872527,3.9100769,4.6973295,-0.95094955,0.95094955,1.9018991,-0.317597,1.1043942,1.4219912
boundary_146,9462024,-0.8975706,3.835979,4.7335496,-1.0144316,1.0144316,2.0288632,-0.317597,1.0541283,1.3717253
boundary_147,8326615,-0.7334527,3.6728814,4.406334,-0.9899987,0.9899987,1.9799974,-0.317597,1.1637161,1.4813131
boundary_148,8345033,-0.84168345,3.9885972,4.830281,-1.054121,1.054121,2.108242,-0.317597,1.1390266,1.4566237
boundary_149,9007169,-0.8706979,3.59556,4.466258,-1.0655762,1.0655762,2.1311524,-0.317597,1.1136901,1.4312872
boundary_15,9806678,-0.8328198,3.8161936,4.6490135,-1.0238798,1.0238798,2.0477595,-0.317597,1.176784,1.4943811
boundary_150,8208623,-0.7602076,3.9126394,4.672847,-0.9400403,0.9400403,1.8800806,-0.317597,1.0861204,1.4037174
boundary_151,7754537,-0.81401247,3.749531,4.5635433,-1.0897615,1.0897615,2.179523,-0.317597,1.020367,1.337964
boundary_152,9533036,-0.9259097,3.832747,4.7586565,-1.0258489,1.0258489,2.0516977,-0.317597,1.0710527,1.3886497
boundary_153,8517270,-0.82906544,3.9478514,4.776917,-1.000256,1.000256,2.000512,-0.317597,1.0933163,1.4109133
boundary_154,8388530,-0.93837434,3.874104,4.8124785,-1.0794251,1.0794251,2.1588502,-0.317597,1.1174147,1.4350117
boundary_155,9439136,-0.7738078,3.7111285,4.484936,-1.040373,1.040373,2.080746,-0.317597,1.1323376,1.4499346
boundary_156,8289023,-0.88385457,3.7946055,4.67846,-0.97631145,0.97631145,1.9526229,-0.317597,1.183044,1.500641
boundary_157,7371468,-0.91077673,3.6348712,4.545648,-0.924873,0.924873,1.849746,-0.317597,1.1007938,1.4183909
boundary_158,10106420,-0.80068266,3.9509869,4.7516694,-1.0046651,1.0046651,2.0093303,-0.317597,1.1505722,1.4681692
boundary_159,8307379,-0.85408556,3.7882757,4.642361,-0.96454483,0.96454483,1.9290897,-0.317597,1.0845788,1.4021758
boundary_16,7959768,-0.7224471,3.889994,4.612441,-0.9453532,0.9453532,1.8907064,-0.317597,1.0535808,1.3711778
boundary_160,8559016,-0.7468044,3.8715591,4.6183634,-1.075792,1.075792,2.151584,-0.317597,1.059021,1.376618
boundary_161,7921509,-0.77636576,4.0794616,4.8558273,-1.0968626,1.0968626,2.193725,-0.317597,1.0884868,1.4060838
boundary_162,9937338,-0.8872139,3.763035,4.650249,-1.0335094,1.0335094,2.0670187,-0.317597,1.0943483,1.4119453
boundary_163,8093341,-0.7227065,3.600288,4.322994,-0.94637036,0.94637036,1.8927407,-0.317597,1.1281109,1.4457079
boundary_164,8742056,-0.83383226,3.9257786,4.759611,-1.0578243,1.0578243,2.1156485,-0.317597,0.98346776,1.3010647
boundary_165,9111288,-0.85971445,3.9236736,4.783388,-1.0220256,1.0220256,2.0440512,-0.317597,1.1005676,1.4181646
boundary_166,8278686,-0.7488214,3.8402548,4.589076,-0.9576673,0.9576673,1.9153346,-0.317597,1.1460235,1.4636205
boundary_168,8561940,-0.91852283,4.003051,4.9215736,-0.9822085,0.9822085,1.964417,-0.317597,1.0358665,1.3534635
boundary_169,8402272,-0.8205035,3.884288,4.7047915,-0.9726305,0.9726305,1.945261,-0.317597,1.1117877,1.4293847
boundary_17,9705704,-0.78432965,4.0737033,4.858033,-1.0345803,1.0345803,2.0691607,-0.317597,1.1096324,1.4272294
boundary_170,8701119,-0.92813635,3.8016646,4.729801,-1.082642,1.082642,2.165284,-0.317597,1.0822157,1.3998127
boundary_171,9400103,-0.76269895,3.6387405,4.4014397,-0.9967701,0.9967701,1.9935402,-0.317597,1.0156325,1.3332295
boundary_172,7544153,-0.87493455,3.9648836,4.839818,-0.9324289,0.9324289,1.8648578,-0.317597,1.1474617,1.4650587
boundary_173,8131711,-0.90044355,3.561836,4.4622793,-1.0872238,1.0872238,2.1744475,-0.317597,1.1405061,1.4581032
boundary_174,9386016,-0.79038566,3.8778682,4.668254,-1.0076066,1.0076066,2.0152133,-0.317597,1.1339773,1.4515743
boundary_175,8135123,-0.84648895,3.7248156,4.5713043,-0.968455,0.968455,1.93691,-0.317597,1.0304722,1.3480692
boundary_176,9070360,-0.73641783,4.0411105,4.7775283,-1.0471387,1.0471387,2.0942774,-0.317597,1.2000778,1.5176748
boundary_177,8127243,-0.7980211,3.982584,4.7806053,-0.93222797,0.93222797,1.8644559,-0.317597,1.0626527,1.3802497
boundary_178,9050192,-0.905456,3.8989449,4.804401,-1.0581388,1.0581388,2.1162777,-0.317597,1.1067657,1.4243628
boundary_179,8491820,-0.74494624,3.744873,4.4898195,-0.97203416,0.97203416,1.9440683,-0.317597,1.0038806,1.3214777
boundary_18,7320829,-0.89745843,3.7573445,4.654803,-0.90913385,0.90913385,1.8182677,-0.317597,1.0400033,1.3576003
boundary_180,8308130,-0.8520059,3.8194609,4.671467,-1.0976582,1.0976582,2.1953163,-0.317597,1.173286,1.490883
boundary_181,8644340,-0.8805816,3.6586473,4.539229,-1.0468045,1.0468045,2.093609,-0.317597,1.0883261,1.4059231
boundary_182,8229094,-0.7711651,3.742702,4.513867,-0.9829303,0.9829303,1.9658606,-0.317597,1.1208128,1.4384098
boundary_183,7469851,-0.8247756,3.822271,4.6470466,-0.9431489,0.9431489,1.8862978,-0.317597,1.0551369,1.372734
boundary_184,10227012,-0.93479365,3.9058228,4.840616,-1.023166,1.023166,2.046332,-0.317597,1.1854544,1.5030514
boundary_185,9499721,-0.8382858,4.020851,4.859137,-0.99668425,0.99668425,1.9933685,-0.317597,1.1270165,1.4446136
boundary_186,7950433,-0.73008347,3.7047858,4.4348693,-1.1078036,1.1078036,2.2156072,-0.317597,1.0570505,1.3746475
boundary_187,8742087,-0.7850008,3.783943,4.568944,-1.0842117,1.0842117,2.1684234,-0.317597,1.1693108,1.4869078
boundary_188,8245926,-0.8917445,3.8581192,4.7498636,-0.9571157,0.9571157,1.9142314,-0.317597,1.0612519,1.3788489
boundary_189,7931637,-0.9218192,3.6972194,4.6190386,-0.92229134,0.92229134,1.8445827,-0.317597,1.135551,1.453148
boundary_19,8682750,-0.7307454,3.5941923,4.324938,-1.0743569,1.0743569,2.1487138,-0.317597,1.149916,1.4675131
boundary_190,9489282,-0.81158775,3.7812421,4.5928297,-1.0323668,1.0323668,2.0647335,-0.317597,1.1090257,1.4266227
boundary_191,8652032,-0.86574715,3.8602362,4.725983,-1.0084958,1.0084958,2.0169916,-0.317597,1.2190797,1.5366768
boundary_192,8316702,-0.75799274,3.9438567,4.7018495,-1.0722295,1.0722295,2.144459,-0.317597,1.0740613,1.3916583
boundary_193,7765713,-0.771324,3.921605,4.6929293,-1.0757358,1.0757358,2.1514716,-0.317597,1.0630916,1.3806887
boundary_194,9522577,-0.8819776,3.8481991,4.730177,-1.0111976,1.0111976,2.0223951,-0.317597,1.0862296,1.4038266
boundary_195,8184651,-0.93628645,3.6849558,4.6212425,-0.97188425,0.97188425,1.9437685,-0.317597,1.1196308,1.4372278
boundary_196,9044521,-0.8293774,3.768671,4.598048,-1.0510454,1.0510454,2.1020908,-0.317597,1.1517446,1.4693416
boundary_197,9471059,-0.85432875,4.008732,4.8630605,-1.0467978,1.0467978,2.0935955,-0.317597,1.0934471,1.4110441
boundary_198,7935197,-0.74331355,3.9249206,4.668234,-0.9365259,0.9365259,1.8730518,-0.317597,1.1201812,1.4377782
boundary_199,8257942,-0.8011058,3.7706487,4.5717545,-1.0865319,1.0865319,2.1730638,-0.317597,1.0352386,1.3528357
boundary_2,8220683,-0.8737896,3.8544462,4.7282357,-1.0735449,1.0735449,2.1470897,-0.317597,1.0645477,1.3821447
boundary_20,8286212,-0.839103,3.909461,4.748564,-0.9956032,0.9956032,1.9912064,-0.317597,1.1264383,1.4440353
boundary_200,8394108,-0.9084998,3.8455682,4.754068,-0.9752749,0.9752749,1.9505498,-0.317597,1.2038068,1.5214038
boundary_201,8384313,-0.81473875,3.969711,4.7844496,-0.950209,0.950209,1.900418,-0.317597,1.1047626,1.4223596
boundary_202,8902069,-0.92404824,3.8864524,4.8105006,-1.0611492,1.0611492,2.1222985,-0.317597,1.0739589,1.3915559
boundary_203,10087822,-0.7570385,3.7233865,4.480425,-1.0376773,1.0376773,2.0753546,-0.317597,1.1662289,1.4838259
boundary_204,7418855,-0.8678824,3.8073852,4.6752677,-0.9103301,0.9103301,1.8206602,-0.317597,1.1398908,1.4574878
boundary_205,8295009,-0.8949864,3.6468782,4.5418644,-1.1123978,1.1123978,2.2247956,-0.317597,1.1337324,1.4513295
boundary_206,8784420,-0.78564405,3.7202797,4.5059237,-0.9860604,0.9860604,1.9721208,-0.317597,1.108589,1.4261861
